Georgia State,38,Abilene Christian,37
Akron,41,Howard,0
Arizona State,45,Weber State,14
Central Michigan,20,Chattanooga,16
Louisiana-Monroe,17,Wake Forest,10
Minnesota,42,Eastern Illinois,20
Mississippi,35,Boise State,13
New Mexico State,28,Cal Poly,10
Northern Illinois,55,Presbyterian,3
Rutgers,41,Washington State,38
San Jose State,42,North Dakota,10
Temple,37,Vanderbilt,7
Texas A&M,52,South Carolina,28
Tulsa,38,Tulane,31
Utah,56,Idaho State,14
Arizona,58,Nevada-Las Vegas,13
Brigham Young,35,Connecticut,10
Colorado State,31,Colorado,17
Michigan State,45,Jacksonville State,7
Syracuse,27,Villanova,26
Texas-San Antonio,27,Houston,7
Western Kentucky,59,Bowling Green State,31
Air Force,44,Nicholls State,16
Alabama,33,West Virginia,23
Alabama-Birmingham,48,Troy,10
Arkansas State,37,Montana State,10
Auburn,45,Arkansas,21
Ball State,30,Colgate,10
Bethune-Cookman,14,Florida International,12
Boston College,30,Massachusetts,7
Buffalo,38,Duquesne,28
California,31,Northwestern,24
Duke,52,Elon,13
East Carolina,52,North Carolina Central,7
Eastern Michigan,31,Morgan State,28
Florida State,37,Oklahoma State,31
Georgia,45,Clemson,21
Georgia Tech,38,Wofford,19
Illinois,28,Youngstown State,17
Indiana,28,Indiana State,10
Iowa,31,Northern Iowa,23
Kansas State,55,Stephen F. Austin,16
Kentucky,59,Tennessee-Martin,14
Louisiana State,28,Wisconsin,24
Louisiana-Lafayette,45,Southern,6
Marshall,42,Miami (OH),27
Maryland,52,James Madison,7
Memphis,63,Austin Peay,0
Michigan,52,Appalachian State,14
Middle Tennessee State,61,Savannah State,7
Mississippi State,49,Southern Mississippi,0
Missouri,38,South Dakota State,18
Nebraska,55,Florida Atlantic,7
Nevada,28,Southern Utah,19
North Carolina,56,Liberty,29
North Carolina State,24,Georgia Southern,23
North Dakota State,34,Iowa State,14
Notre Dame,48,Rice,17
Ohio,17,Kent State,14
Ohio State,34,Navy,17
Oklahoma,48,Louisiana Tech,16
Old Dominion,41,Hampton,28
Oregon,62,South Dakota,13
Oregon State,29,Portland State,14
Penn State,26,Central Florida,24
Pittsburgh,62,Delaware,0
Purdue,43,Western Michigan,34
San Diego State,38,Northern Arizona,7
South Florida,36,Western Carolina,31
Southern California,52,Fresno State,13
Stanford,45,California-Davis,0
Texas,38,North Texas,7
Texas Christian,48,Samford,14
Texas State,65,Arkansas-Pine Bluff,0
Texas Tech,42,Central Arkansas,35
Texas-El Paso,31,New Mexico,24
Toledo,54,New Hampshire,20
UCLA,28,Virginia,20
Virginia Tech,34,William & Mary,9
Washington,17,Hawaii,16
Wyoming,17,Montana,12
Baylor,45,Southern Methodist,0
Tennessee,38,Utah State,7
Louisville,31,Miami (FL),13
Arizona,26,Texas-San Antonio,23
Nevada,24,Washington State,13
Pittsburgh,30,Boston College,20
Alabama,41,Florida Atlantic,0
Appalachian State,66,Campbell,0
Arizona State,58,New Mexico,23
Arkansas,73,Nicholls State,7
Army,47,Buffalo,39
Auburn,59,San Jose State,13
Baylor,70,Northwestern State,6
Boise State,37,Colorado State,24
Bowling Green State,48,Virginia Military Institute,7
Brigham Young,41,Texas,7
California,55,Sacramento State,14
Central Michigan,38,Purdue,17
Clemson,73,South Carolina State,7
Colorado,41,Massachusetts,38
Connecticut,19,Stony Brook,16
Duke,34,Troy,17
Eastern Kentucky,17,Miami (OH),10
Florida,65,Eastern Michigan,0
Florida International,34,Wagner,3
Florida State,37,Citadel,12
Georgia Southern,83,Savannah State,9
Georgia Tech,38,Tulane,21
Houston,47,Grambling State,0
Illinois,42,Western Kentucky,34
Iowa,17,Ball State,13
Kansas,34,Southeast Missouri State,28
Kansas State,32,Iowa State,28
Kentucky,20,Ohio,3
Louisiana State,56,Sam Houston State,0
Louisiana Tech,48,Louisiana-Lafayette,20
Louisiana-Monroe,38,Idaho,31
Louisville,66,Murray State,21
Marshall,48,Rhode Island,7
Maryland,24,South Florida,17
Miami (FL),41,Florida A&M,7
Minnesota,35,Middle Tennessee State,24
Mississippi,41,Vanderbilt,3
Mississippi State,47,Alabama-Birmingham,34
Missouri,49,Toledo,24
Navy,31,Temple,24
Nebraska,31,McNeese State,24
Nevada-Las Vegas,13,Northern Colorado,12
New Mexico State,34,Georgia State,31
North Carolina,31,San Diego State,27
North Carolina State,46,Old Dominion,34
North Texas,43,Southern Methodist,6
Northern Illinois,23,Northwestern,15
Notre Dame,31,Michigan,0
Oklahoma,52,Tulsa,7
